,Project Name,Address,City,State,Part 3 Approval,Total Project Costs,2010 Census Tract,Region
0,Mcdowell & Company,339-341 N. Charles Street,Baltimore,MD,2009-02-18,3045219.0,,Baltimore
1,Fleet Street Property,1721 Fleet Street,Baltimore,MD,2009-03-11,200000.0,,Baltimore
2,Gunther Brewing Company,1301 S. Conkling St.,Baltimore City,MD,2009-03-30,19199747.0,,Baltimore
3,Baltimore Gas & Electric Co. Building,39 West Lexington Street,Baltimore,MD,2009-04-01,36200000.0,,Baltimore
4,53 S. Carrollton Avenue,53 S. Carrollton Avenue,Baltimore,MD,2009-04-09,114021.0,,Baltimore
5,3327 Noble Street,3327 Noble Street,Baltimore,MD,2009-04-10,185400.0,,Baltimore
6,3300 Noble Street,3300 Noble Street,Baltimore,MD,2009-04-10,185400.0,,Baltimore
7,Ruscombe Green,4901 Springarden Drive,Baltimore,MD,2009-04-24,1401251.0,,Baltimore
8,204 East Chase Street,204 East Chase Street,Baltimore,MD,2009-04-27,234480.0,,Baltimore
9,3304 Noble Street,3304 Noble Street,Baltimore,MD,2009-04-28,185400.0,,Baltimore
10,The George Wells House,1532-1534 Thames Street,Baltimore,MD,2009-05-13,1642666.0,,Baltimore
11,Gampy's Building,904 North Charles Street,Baltimore,MD,2009-05-26,1208878.0,,Baltimore
12,Northern District Police Station,3355 Keswick Road,Baltimore,MD,2009-06-12,7942035.0,,Baltimore
13,801 Washington Boulevard,801 Washington Boulevard,Baltimore,MD,2009-06-17,383360.0,,Baltimore
14,Abell Building,329-335 West Baltimore Street,Baltimore,MD,2009-06-19,5700000.0,,Baltimore
15,24 South Carrollton,24 South Carrollton,Baltimore,MD,2009-06-29,128517.0,,Baltimore
16,407 N. Charles Street,407 N. Charles Street,Baltimore,MD,2009-08-11,777938.0,,Baltimore
17,Professional Arts Building (Aka The Medical Arts Bldg),101 West Read Street,Baltimore,MD,2009-08-11,18875043.0,,Baltimore
18,Title Guarantee And Trust Company Building,102-110 St. Paul Street,Baltimore,MD,2009-08-28,11000000.0,,Baltimore
19,1209 Hollins Street,1209 Hollins Street,Baltimore,MD,2009-09-02,162544.0,,Baltimore
20,638 Melvin Drive,638 Melvin Drive,Baltimore,MD,2009-09-10,113137.0,,Baltimore
21,1310 W. Lexington Street,1310 W. Lexington Street,Baltimore,MD,2009-11-17,296150.0,,Baltimore
22,222 West Monument Street,222 West Monument Street,Baltimore,MD,2009-11-24,872905.0,,Baltimore
23,Cannery Square At Charles Village (Miller's Court),2601 North Howard Street,Baltimore,MD,2009-12-07,15569292.0,,Baltimore
24,The Keyser Building,207 E. Redwood Street,Baltimore,MD,2010-01-05,19500000.0,,Baltimore
25,823 Park Avenue,823 Park Avenue,Baltimore,MD,2010-02-19,722441.0,,Baltimore
26,The B&O Central Building,2 N. Charles Street,Baltimore,MD,2010-04-12,45000000.0,,Baltimore
27,The Old Town National Bank Building,221-233 North Gay Street,Baltimore,MD,2010-09-08,9250000.0,,Baltimore
28,203 East North Avenue,203 East North Avenue,Baltimore,MD,2010-09-20,275000.0,,Baltimore
29,1301 Washington Blvd.,1301 Washington Blvd.,Baltimore,MD,2010-09-22,198023.0,,Baltimore
30,108 W. Lexington Street,108 W. Lexington Street,Baltimore,MD,2010-10-26,1147000.0,,Baltimore
31,Junker Hotel,20-22 East Fayette Street,Baltimore,MD,2010-12-14,11163471.0,,Baltimore
32,Hamilton House,509 Cathedral Street,Baltimore,MD,2011-01-20,615967.0,,Baltimore
33,The Federal Land Bank Building,2315-2317 St. Paul Street,Baltimore,MD,2011-03-02,46709860.0,,Baltimore
34,1007 E. Pratt Street,1007 E. Pratt Street,Baltimore,MD,2011-03-09,1234814.0,,Baltimore
35,439 E. Lanvale Street,439 E. Lanvale Street,Baltimore,MD,2011-03-24,253817.0,,Baltimore
36,422 East Lanvale Street,422 East Lanvale Street,Baltimore,MD,2011-03-24,261765.0,,Baltimore
37,426 East Federal Street,426 East Federal Street,Baltimore,MD,2011-04-18,206925.0,,Baltimore
38,807 Washington Boulevard,807 Washington Boulevard,Baltimore,MD,2011-05-31,494097.0,,Baltimore
39,803-805 Washington Boulevard,803-805 Washington Boulevard,Baltimore,MD,2011-05-31,494097.0,,Baltimore
40,3415 Falls Road,3415 Falls Road,Baltimore,MD,2011-06-08,266342.0,,Baltimore
41,1044 N. Broadway,1044 N. Broadway,Baltimore,MD,2011-07-18,149730.0,,Baltimore
42,1710 Barclay Street,1710 Barclay Street,Baltimore,MD,2011-07-18,388860.0,,Baltimore
43,1703 Barclay Street,1703 Barclay Street,Baltimore,MD,2011-07-20,388860.0,,Baltimore
44,637 Washington Blvd.,637 Washington Blvd.,Baltimore,MD,2011-08-22,425926.0,,Baltimore
45,1804 E. Lafayette Street,1804 E. Lafayette Street,Baltimore,MD,2011-09-14,194395.0,,Baltimore
46,715 S. Ann Street,715 S. Ann Street,Baltimore,MD,2011-09-26,326110.0,,Baltimore
47,205 East North Avenue,205 East North Avenue,Baltimore,MD,2011-11-14,270000.0,,Baltimore
48,1625 E. Preston Street,1625 E. Preston Street,Baltimore,MD,2011-11-22,188720.0,,Baltimore
49,1838 Rutland Avenue,1838 Rutland Avenue,Baltimore,MD,2011-11-22,189913.0,,Baltimore
50,Gamby House,1400-1402 Madison Avenue,Baltimore,MD,2011-12-19,130433.0,,Baltimore
51,The Calvert School,10 W. Chase Street,Baltimore,MD,2012-02-14,1004567.0,,Baltimore
52,319 West Mulberry Street,319 West Mulberry Street,Baltimore,MD,2012-03-26,233495.0,,Baltimore
53,Druid Mill,1500 Union Avenue,Baltimore,MD,2012-03-28,14600000.0,,Baltimore
54,2428 Jefferson Street,2428 Jefferson Street,Baltimore,MD,2012-04-17,197623.0,,Baltimore
55,1226 North Charles Street,1226 North Charles Street,Baltimore,MD,2012-05-14,1439317.0,,Baltimore
56,115 East Lafayette Street,115 East Lafayette Street,Baltimore,MD,2012-06-19,325000.0,,Baltimore
57,414 E. Lanvale Street,414 E. Lanvale Street,Baltimore,MD,2012-06-19,325000.0,,Baltimore
58,415 E. Lafayette Street,415 E. Lafayette Street,Baltimore,MD,2012-08-22,325000.0,,Baltimore
59,406 East Lanvale Street,406 East Lanvale Street,Baltimore,MD,2012-09-13,325000.0,,Baltimore
60,The Anneslie Apartments,1203-1205 North Charles Street,Baltimore,MD,2012-09-24,1750000.0,,Baltimore
61,1812 Guilford Avenue,1812 Guilford Avenue,Baltimore,MD,2012-11-01,412500.0,,Baltimore
62,1806 Guilford Avenue,1806 Guilford Avenue,Baltimore,MD,2012-11-01,363000.0,,Baltimore
63,332 E Federal Street,332 E Federal Street,Baltimore,MD,2012-11-15,125009.0,,Baltimore
64,338 E Federal Street,338 E Federal Street,Baltimore,MD,2012-11-15,125009.0,,Baltimore
65,1029 St. Paul Street,1029 St. Paul Street,Baltimore,MD,2013-02-01,478803.0,,Baltimore
66,1302 St. Paul Street,1302 St. Paul Street,Baltimore,MD,2013-03-18,1600000.0,,Baltimore
67,1216 W. Lombard Street,1216 W. Lombard Street,Baltimore,MD,2013-04-01,139626.0,,Baltimore
68,1304 St. Paul Street,1304 St. Paul Street,Baltimore,MD,2013-04-03,1600000.0,,Baltimore
69,Town Theatre,315 W. Fayette Street,Baltimore,MD,2013-04-10,15297270.0,,Baltimore
70,1232 North Broadway,1232 North Broadway,Baltimore,MD,2013-04-13,238749.0,,Baltimore
71,1234 North Broadway,1234 North Broadway,Baltimore,MD,2013-04-15,236612.0,,Baltimore
72,1230 North Broadway,1230 North Broadway,Baltimore,MD,2013-04-15,239119.0,,Baltimore
