,"Project Name",Address,City,State,"Part 3 Approval","Total Project Costs","2010 Census Tract",Region,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source,"Census Year","State FIPS","County FIPS","Place Name","Place FIPS","Census Tract Code","Census Block Code","Census Block Group","Full FIPS","Metro/Micro Statistical Area Name","Metro/Micro Statistical Area Code","Metro/Micro Statistical Area Type","Combined Statistical Area Name","Combined Statistical Area Code","Metropolitan Division Area Name","Metropolitan Division Area Code","Congressional District"
0,"Mcdowell & Company","339-341 N. Charles Street",Baltimore,MD,2009-02-18,3045219.0,,Baltimore,39.293815,-76.615111,1,rooftop,339,"N Charles St",Baltimore,MD,"Baltimore city",21202,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,040100,1063,1,245100401001063,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
1,"Fleet Street Property","1721 Fleet Street",Baltimore,MD,2009-03-11,200000.0,,Baltimore,39.284439,-76.592307,1,rooftop,1721,"Fleet St",Baltimore,MD,"Baltimore city",21231,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,020300,1010,1,245100203001010,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD3
2,"Gunther Brewing Company","1301 S. Conkling St.","Baltimore City",MD,2009-03-30,19199747.0,,Baltimore,39.278636,-76.566651,1,range_interpolation,1301,"S Conkling St",Baltimore,MD,"Baltimore city",21224,US,"TIGER/Line® dataset from the US Census Bureau",2019,24,24510,Baltimore,2404000,260900,3011,3,245102609003011,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD3
3,"Baltimore Gas & Electric Co. Building","39 West Lexington Street",Baltimore,MD,2009-04-01,36200000.0,,Baltimore,39.29127,-76.617042,1,rooftop,39,"W Lexington St",Baltimore,MD,"Baltimore city",21201,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,040100,2036,2,245100401002036,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
4,"53 S. Carrollton Avenue","53 S. Carrollton Avenue",Baltimore,MD,2009-04-09,114021.0,,Baltimore,39.286934,-76.63636,1,rooftop,53,"S Carrollton Ave",Baltimore,MD,"Baltimore city",21223,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,180300,2018,2,245101803002018,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
5,"3327 Noble Street","3327 Noble Street",Baltimore,MD,2009-04-10,185400.0,,Baltimore,39.292885,-76.56993,1,rooftop,3327,"Noble St",Baltimore,MD,"Baltimore city",21224,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,261000,3000,3,245102610003000,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD3
6,"3300 Noble Street","3300 Noble Street",Baltimore,MD,2009-04-10,185400.0,,Baltimore,39.29315,-76.570522,1,rooftop,3300,"Noble St",Baltimore,MD,"Baltimore city",21224,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,261000,2012,2,245102610002012,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD3
7,"Ruscombe Green","4901 Springarden Drive",Baltimore,MD,2009-04-24,1401251.0,,Baltimore,39.349672,-76.657073,1,rooftop,4901,"Springarden Dr",Baltimore,MD,"Baltimore city",21209,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,130805,1008,1,245101308051008,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
8,"204 East Chase Street","204 East Chase Street",Baltimore,MD,2009-04-27,234480.0,,Baltimore,39.302732,-76.61237,1,rooftop,204,"E Chase St",Baltimore,MD,"Baltimore city",21202,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,110100,1015,1,245101101001015,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
9,"3304 Noble Street","3304 Noble Street",Baltimore,MD,2009-04-28,185400.0,,Baltimore,39.293153,-76.570436,1,rooftop,3304,"Noble St",Baltimore,MD,"Baltimore city",21224,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,261000,2012,2,245102610002012,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD3
